id_ies,cod,nome,categoria,sigla,tipo_organizacao
609,19407,"FACULDADES INTEGRADAS CESUMAR DE GUARAPUAVA","Privada com fins lucrativos",CESUMAR,Faculdade
610,19406,"FACULDADES INTEGRADAS CESUMAR DE ARAPONGAS","Privada com fins lucrativos",CESUMAR,Faculdade
611,17420,"FACULDADE CESUMAR DE PONTA GROSSA","Privada com fins lucrativos",FAC-CESUMAR,Faculdade
612,18714,"FACULDADE DE INOVAÇÃO TECNOLÓGICA DE PONTA GROSSA","Privada com fins lucrativos",FAC-CESUMAR,Faculdade
613,18726,"FACULDADE DE INOVAÇÃO TECNOLÓGICA DE CURITIBA","Privada com fins lucrativos",FAC-CESUMAR,Faculdade
614,19733,"FACULDADE RENOVAÇÃO DE PONTA GROSSA","Privada com fins lucrativos",RENOVAÇÃO,Faculdade
615,4396,"CENTRO UNIVERSITÁRIO DE MINEIROS","Pública Municipal",UNIFIMES,"Centro Universitário"
616,824,"CENTRO UNIVERSITÁRIO DE GOIATUBA","Pública Municipal",UNICERRADO,"Centro Universitário"
617,825,"FACULDADE PRESBITERIANA GAMMON","Privada sem fins lucrativos",FAGAMMON,Faculdade
618,5670,"CENTRO UNIVERSITÁRIO DO VALE DO ARAGUAIA","Privada sem fins lucrativos",UNIVAR,"Centro Universitário"
619,829,"UNIVERSIDADE ESTADUAL DO TOCANTINS","Pública Estadual",UNITINS,Universidade
620,830,"UNIVERSIDADE FEDERAL DO AMAPÁ","Pública Federal",UNIFAP,Universidade
621,831,"FACULDADE DE CIÊNCIAS HUMANAS DO VALE DO RIO GRANDE","Privada com fins lucrativos",FCHVRG,Faculdade
622,832,"FACULDADE ARQUIDIOCESANA DE CURVELO","Privada sem fins lucrativos",FAC,Faculdade
623,833,"FACULDADES INTEGRADAS DE ARIQUEMES","Privada sem fins lucrativos",FIAR,Faculdade
624,838,"FACULDADE DE CIÊNCIAS TECNOLÓGICAS DE FORTALEZA","Privada sem fins lucrativos",FCTFOR,Faculdade
625,837,"FACULDADE DE CIÊNCIAS HUMANAS DE FORTALEZA","Privada sem fins lucrativos",FCHFOR,Faculdade
626,839,"FACULDADE VITORIANA DE CIÊNCIAS CONTÁBEIS","Privada com fins lucrativos",FAVI,Faculdade
627,840,"FACULDADE VITORIANA DE TECNOLOGIA","Privada com fins lucrativos",FAVI,Faculdade
628,1498,"INSTITUTO DE ENSINO SUPERIOR E FORMAÇÃO AVANÇADA DE VITÓRIA","Privada com fins lucrativos",FAVI,Faculdade
629,2245,"FACULDADE DO ESPÍRITO SANTO","Privada com fins lucrativos",FACES,Faculdade
